,carrier,meanDepDelay,meanArrDelay,crashed,canceled,airPlanesCount,meanSpeed,activeRoutes,flightsCount,Flightsmileage
0,9E,16.725769407441433,7.738195445373306,1044,71,203,5.752547793435712,77,17345,9222844
1,AA,8.586015642040321,0.9268848061386818,636,34,600,6.9483193422395235,25,32059,43064382
2,AS,5.804775280898877,-9.59691011235955,2,0,84,7.407653113322778,1,712,1710224
3,B6,13.022522106740018,9.759166558915345,466,32,193,6.66170482824098,55,54137,57933040
4,DL,9.26450451204958,1.9861768525112051,349,15,629,6.969534584749376,55,47746,59119893
5,EV,19.955389827868213,16.221888353397983,2817,105,316,6.040625420720985,102,51251,28870410
6,F9,20.215542521994134,21.920704845814978,3,1,25,7.086201847721831,1,681,1103220
7,FL,18.72607467838092,20.48852562087394,73,6,129,6.5647354329578045,3,3181,2115272
8,HA,4.900584795321637,-6.915204678362573,0,0,14,8.005961977942315,1,342,1704186
9,MQ,10.552040694670747,11.066757058542033,1234,87,237,6.134701121630512,24,25076,14307664
10,OO,12.586206896551724,11.931034482758621,3,0,28,6.105334745545962,5,29,14769
11,UA,12.106072888459614,3.94580081497341,686,63,620,7.011803442290551,53,57916,88725551
12,US,3.7824183565641825,2.2605584114504587,663,31,289,5.696752668483541,10,19842,11127314
13,VX,12.869421165464821,2.146479422664326,31,4,53,7.43583873699986,7,5127,12815036
14,WN,17.71174377224199,10.050351966873706,192,8,582,6.6698033533504475,17,12075,12042607
15,YV,18.996330275229358,15.556985294117647,56,1,58,5.532833114689894,3,544,204782
